"uniqueID","form","NUMBER","LABEL","ENGLISH","SC","V","K","TC","TG","SKIP","repeatability","REPEATABILITY.QUESTION","REPEATABILITY.SKIP","REPEATABILITY.NUMBER"
1010,"S0",NA,"ELG3.1","Yes","是","Có","예","是","Oo",NA,NA,NA,NA,NA
1011,"S0",NA,"ELG3.2","No","否","Không","아니요","否","Hindi",NA,NA,NA,NA,NA
1012,"S0","4","ELG4.","Are you in active military service?","您目前是否在服兵役？","Quý vị có đang tham gia nghĩa vụ quân sự không?","현역 군인으로 복무 중이신가요?","您是否正在服役？","Kayo ba'y kasalukuyang nasa aktibong serbisyo sa militar?",NA,NA,NA,NA,NA
1013,"S0",NA,"ELG4.1","Yes","是","Có","예","是","Oo",NA,NA,NA,NA,NA
1014,"S0",NA,"ELG4.2","No","否","Không","아니요","否","Hindi",NA,NA,NA,NA,NA
1015,"S0","5","ELG5.","Please understand this is a long-term study. Are you willing to provide health information to the study over the next 10 years?","这是一项长期研究。您是否愿意在未来 10 年内向本研究提供您的健康信息？","Vui lòng hiểu rằng đây là một nghiên cứu dài hạn. Quý vị có sẵn sàng cung cấp thông tin sức khỏe cho nghiên cứu trong 10 năm tới không?","이 연구가 장기 프로젝트임을 양해해 주시기 바랍니다. 해당 연구에 귀하의 건강 정보를 향후 10년 동안 제공할 의향이 있습니까?","因為這是一項長期研究，您願意在未來的 10 年提供您的健康資訊嗎？","Pakaiintindihan ninyo na ito ay isang pangmatagalang pananaliksik. Kayo ba'y handang magbigay ng impormasyong pangkalusugan sa pananaliksik na ito sa loob ng susunod na 10 taon?",NA,NA,NA,NA,NA
1016,"S0",NA,"ELG5.1","Yes","是","Có","예","是","Oo",NA,NA,NA,NA,NA
1017,"S0",NA,"ELG5.2","No","否","Không","아니요","否","Hindi",NA,NA,NA,NA,NA
1018,"S0","6","ELG6.","FEMALES only: Are you pregnant?","仅限女性:您目前是否怀孕？","Chỉ dành cho NỮ GIỚI: Quý vị có đang mang thai không?","여성만 해당: 임신 중이신가요?","僅限女性：您目前是否懷孕？","PARA SA MGA BABAE LAMANG: Kayo ba ay buntis?",NA,NA,NA,NA,NA
1019,"S0",NA,"ELG6.1","Yes","是","Có","예","是","Oo",NA,NA,NA,NA,NA
1020,"S0",NA,"ELG6.2","No","否","Không","아니요","否","Hindi",NA,NA,NA,NA,NA
1021,"S0","7","ELG7.","Please tell us the zip code where you live:","请告诉我们您居住所在地的邮政编码:","Vui lòng cho chúng tôi biết mã bưu điện (zip code) nơi bạn sống:","거주하는 지역의 우편번호를 알려주세요:","請告訴我們您居住的郵遞區號：","Mangyaring sabihin sa amin ang zip code kung saan kayo nakatira:",NA,NA,NA,NA,NA
1022,"S0",NA,"ELG8.","What is your current \textbf{gender}?","您当前的\CJKunderline{性别}？","\textbf{Giới tính} hiện tại của quý vị là gì?","현재 \textbf{성별}은 어떻게 되나요?","您目前的\CJKunderline{性別}是什麼 ？","Ano ang inyong kasalukuyang \textbf{kasarian}?",NA,NA,NA,NA,NA
1023,"S0",NA,"ELG8.1","Man","男","Nam","남자","男","Lalaki",NA,NA,NA,NA,NA
1024,"S0",NA,"ELG8.2","Woman","女","Nữ","여자","女","Babae",NA,NA,NA,NA,NA
1025,"S0",NA,"ELG8.3","Gender non-binary or other","非二元性别或非常规性别","Phi nhị giới hoặc không tuân theo chuẩn giới","성별 논바이너리 또는 비순응","非二元性別或非常规性别","Kasarian na hindi binary o hindi umaayon sa nakagisnan",NA,NA,NA,NA,NA
NA,"S0",NA,"ELG9.","What \textbf{sex} were you at birth?","What \textbf{sex} were you at birth?","What \textbf{sex} were you at birth?","What \textbf{sex} were you at birth?","What \textbf{sex} were you at birth?","What \textbf{sex} were you at birth?",NA,NA,NA,NA,NA
NA,"S0",NA,"ELG9.1","Male","Male","Male","Male","Male","Male",NA,NA,NA,NA,NA
NA,"S0",NA,"ELG9.2","Female","Female","Female","Female","Female","Female",NA,NA,NA,NA,NA
NA,"S0",NA,"ELG9.3","I prefer not to answer","I prefer not to answer","I prefer not to answer","I prefer not to answer","I prefer not to answer","I prefer not to answer",NA,NA,NA,NA,NA
1026,"S1",NA,"ENROLLMENT","MOSAAIC Enrollment Survey","MOSAAIC 报名登记问卷","Bộ Câu Hỏi Để Ghi Danh MOSAAIC","MOSAAIC 등록 설문조사","MOSAAIC 註冊調查","Sarbey Para sa Pagsali sa MOSAAIC",NA,NA,NA,NA,NA
1027,"S1",NA,"PER0.","Part 1 -- Personal Information","第 1 部分 -- 个人信息","Phần 1 -- Thông Tin Cá Nhân","파트 1 -- 개인 정보","第 1 部分 -- 個人資訊","Ika-1 Bahagi -- Personal na Impormasyon",NA,"X","Part 1 -- Personal Information",NA,NA
1028,"S1","1","PER1.","Identifying Information","身份信息","Thông Tin Nhận Dạng","개인 식별 정보","填寫人姓名","Pagtukoy sa Impormasyon",NA,NA,NA,NA,NA
1029,"S1",NA,"PER1.1","Title:","头衔/职称:","Chức Danh:","칭호:","尊稱：","Titulo:",NA,NA,NA,NA,NA
1030,"S1",NA,"PER1.1.1","Mr.","Mr.","Mr.","Mr.","Mr.","Mr.",NA,NA,NA,NA,NA
1031,"S1",NA,"PER1.1.2","Mrs.","Mrs.","Mrs.","Mrs.","Mrs.","Mrs.",NA,NA,NA,NA,NA
1032,"S1",NA,"PER1.1.3","Ms.","Ms.","Ms.","Ms.","Ms.","Ms.",NA,NA,NA,NA,NA
1033,"S1",NA,"PER1.1.4","Dr.","Dr.","Dr.","Dr.","Dr.","Dr.",NA,NA,NA,NA,NA
1034,"S1",NA,"PER1.1.5","Rev.","Rev.","Rev.","Rev.","Rev.","Rev.",NA,NA,NA,NA,NA
1035,"S1",NA,"PER1.1.6","Hon.","Hon.","Hon.","Hon.","Hon.","Hon.",NA,NA,NA,NA,NA
1036,"S1",NA,"PER1.2","Legal First Name:","法定名:","Tên Hợp Pháp:","법적 이름:","法定名字：","Legal na Pangalan:",NA,NA,NA,NA,NA
1037,"S1",NA,"PER1.3","Legal Middle/Second Name:","法定中间名:","Tên Đệm Hợp Pháp:","법적 중간 이름:","法定中間名：","Legal na Gitna/Ikalawang Pangalan:",NA,NA,NA,NA,NA
1038,"S1",NA,"PER1.4","Legal Last Name:","法定姓:","Họ Hợp Pháp:","법적 성:","法定姓氏：","Legal na Apelyido:",NA,NA,NA,NA,NA
1039,"S1",NA,"PER1.5","Extension/Suffix:","扩展名/后缀:","Phần Mở Rộng/Hậu Tố Tên:","추가 구분/호칭:","擴展名/後綴：","Extension/Hulapi:",NA,NA,NA,NA,NA
1040,"S1",NA,"PER1.6","Other names you have used, or currently use:","您曾使用过的或目前使用的其他姓名或偏好名:","Các tên khác quý vị đã hoặc đang sử dụng:","기입하신 이름 이외에 현재 사용하거나 과거에 사용했던 다른 이름:","其他您曾使用，或是正在使用的名字：","Iba pang pangalan na inyong nagamit o ginagamit:",NA,NA,NA,NA,NA
1041,"S1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1042,"S1","2","PER2.","What is your date of birth?","您的出生日期是什么？","Ngày sinh của quý vị là gì?","생년월일은 어떻게 되시나요?","您的出生日期是什麼？","Ano ang petsa ng inyong kapanganakan?",NA,NA,NA,NA,NA
1043,"S1",NA,"PER2.1","Month / Day / Year","月 / 日 / 年","Tháng / Ngày / Năm","월 / 일 / 년","月 / 日 / 年","Buwan / Araw / Taon",NA,NA,NA,NA,NA
1044,"S1","3","PER3.","What \textbf{sex} were you at birth?","您出生的\CJKunderline{性别}？","\textbf{Giới tính hay phái} ghi trên giấy khai sinh gốc của quý vị là gì?","출생 시 어떤 \textbf{성별}이었습니까?","您出生的\CJKunderline{性別}是什麼？","Ano ang kasarian ninyo noong kayo ay ipinanganak?","\SOO",NA,NA,NA,NA
1045,"S1",NA,"PER3.1","Male","男性","Nam","남성","男","Lalaki",NA,NA,NA,NA,NA
1046,"S1",NA,"PER3.2","Female","女性","Nữ","여성","女","Babae",NA,NA,NA,NA,NA
1047,"S1",NA,"PER3.3","I prefer not to answer","我不愿意回答","Tôi không muốn trả lời","대답하고 싶지 않음","我不願意回答","Mas pinili kong hindi sumagot",NA,NA,NA,NA,NA
1048,"S1",NA,"PER4.","What is your current \textbf{gender}?","您当前\CJKunderline{性别}？","\textbf{Giới tính} hiện tại của quý vị là gì?","현재 \textbf{성별}은 어떻게 되나요?","您目前的\CJKunderline{性別}是什麼 ？","Ano ang inyong kasalukuyang \textbf{kasarian}?",NA,NA,NA,NA,NA
1049,"S1",NA,"PER4.1","Man","男","Nam","남자","男","Lalaki",NA,NA,NA,NA,NA
1050,"S1",NA,"PER4.2","Woman","女","Nữ","여자","女","Babae",NA,NA,NA,NA,NA
1051,"S1",NA,"PER4.3","Gender non-binary or nonconforming","非二元性别或非常规性别","Phi nhị giới hoặc không tuân theo chuẩn giới","성별 논바이너리 또는 비순응","非二元性別或非常規性別","Kasarian na hindi binary o hindi umaayon sa nakagisnan",NA,NA,NA,NA,NA
1052,"S1",NA,"PER4.4","My gender identity is not listed above (specify):","我的性别认同未在上面列出（请具体说明）:","Giới tính của tôi không được liệt kê ở trên (vui lòng nêu rõ):","위에 나열되지 않은 성별(구체적으로 명시):","我認同的性別沒有列在上面（請具體說明）：","Hindi nakalista sa itaas ang aking kasarian (tukuyin):",NA,NA,NA,NA,NA
1053,"S1",NA,"PER4.5","I prefer not to answer","我不愿意回答","Tôi không muốn trả lời","대답하고 싶지 않음","我不願意回答","Mas pinili kong hindi sumagot",NA,NA,NA,NA,NA
1054,"S1","4","PER5.","Which of the following races or ethnicities would you use to describe yourself?","您会使用以下哪个种族或族裔来描述自己？","Quý vị sẽ sử dụng chủng tộc hoặc dân tộc của tôi nào sau đây để mô tả bản thân?","귀하의 인종 또는 민족은 무엇인가요?","您會如何描述自己的種族或族裔？","Alin sa mga sumusunod na lahi o etnisidad ang ginagamit ninyo sa paglalarawan ng inyong sarili?","\SATA","X",NA,"\SATA","1"
1055,"S1",NA,"PER5.1","Chinese","中国人","Người Trung Quốc","중국인","中國人","Chinese",NA,"X",NA,NA,NA
1056,"S1",NA,"PER5.2","Taiwanese","台湾人","Người Đài Loan","대만인","台灣人","Taiwanese",NA,"X",NA,NA,NA
1057,"S1",NA,"PER5.3","Filipino","菲律宾人","Người Philipin hay người Phi Luật Tân","필리핀인","菲律賓人","Filipino",NA,"X",NA,NA,NA
1058,"S1",NA,"PER5.4","Asian Indian","印度人","Người Ấn Độ","아시아계 인도인","印度人","Asian Indian",NA,"X",NA,NA,NA
1059,"S1",NA,"PER5.5","Vietnamese","越南人","Người Việt Nam","베트남인","越南人","Vietnamese",NA,"X",NA,NA,NA
1060,"S1",NA,"PER5.6","Korean","韩国人","Người Hàn Quốc","한국인","韓國人","Korean",NA,"X",NA,NA,NA
1061,"S1",NA,"PER5.7","Japanese","日本人","Người Nhật Bản","일본인","日本人","Japanese",NA,"X",NA,NA,NA
NA,"S1",NA,"PER5.19","Bangladeshi","孟加拉人","Người Bangladesh","방글라데시 사람","孟加拉人","Bangladeshi",NA,NA,NA,NA,NA
NA,"S1",NA,"PER5.20","Bhutanese","不丹人","Người Bhutan","부탄인","不丹人","Bhutanese",NA,NA,NA,NA,NA
NA,"S1",NA,"PER5.21","Burmese","缅甸人","Người Miến Điện","미얀마 사람","緬甸人","Burmese",NA,NA,NA,NA,NA
NA,"S1",NA,"PER5.22","Cambodian","柬埔寨人","Người Campuchia","캄보디아 사람","柬埔寨人","Cambodian",NA,NA,NA,NA,NA
NA,"S1",NA,"PER5.23","Indonesian","印度尼西亚人","Người Indonesia","인도네시아 사람","印尼人","Indonesian",NA,NA,NA,NA,NA
NA,"S1",NA,"PER5.24","Lao","老挝人","Người Lào","라오스 사람","寮國人","Lao",NA,NA,NA,NA,NA
NA,"S1",NA,"PER5.25","Nepali","尼泊尔人","Người Nepal","네팔 사람","尼泊爾人","Nepali",NA,NA,NA,NA,NA
NA,"S1",NA,"PER5.26","Pakistani","巴基斯坦人","Người Pakistan","파키스탄 사람","巴基斯坦人","Pakistani",NA,NA,NA,NA,NA
NA,NA,NA,"PER5.27","Thai","泰国人","Người Thái","태국인","泰國人","Thai",NA,NA,NA,NA,NA
1062,"S1",NA,"PER5.8","An Asian group not listed above (specify):","未在上面列出的亚洲群体（请具体说明）:","Nhóm người Châu Á không được liệt kê ở trên (vui lòng nêu rõ):","위에 나열되지 않은 아시아 인(구체적으로 명시):","未在上面列出的亞洲種族或族裔（請具體說明）：","Asian na grupo na hindi nakalista sa itaas (tukuyin):",NA,"X",NA,NA,NA
1063,"S1",NA,"PER5.9","Native Hawaiian","夏威夷原住民","Người Hawaii bản địa","하와이 원주민","夏威夷族","Native Hawaiian",NA,"X",NA,NA,NA
1064,"S1",NA,"PER5.10","Samoan","萨摩亚人","Người Samoa","사모아인","薩摩亞人","Samoan",NA,"X",NA,NA,NA
NA,NA,NA,"PER5.28","Chamorro","查莫罗人","Người Chamorro","차모로인","查莫羅人","Chamorro",NA,NA,NA,NA,NA
NA,NA,NA,"PER5.29","Tahitian","塔希提人","Người Tahiti","타히티인","大溪地人","Tahitian",NA,NA,NA,NA,NA
NA,NA,NA,"PER5.30","Tongan","汤加人","Người Tonga","통가인","湯加人","Tongan",NA,NA,NA,NA,NA
1065,"S1",NA,"PER5.11","Micronesian (specify):","密克罗尼西亚人（请具体说明）:","Người Micronesia (vui lòng nêu rõ):","미크로네시아인(구체적으로 명시):","密克羅尼西亞人（請具體說明）：","Micronesian (tukuyin):",NA,"X",NA,NA,NA
1066,"S1",NA,"PER5.12","A Pacific Islander group not listed above (specify):","未在上面列出的太平洋岛民群体（请具体说明）:","Người dân đảo Thái Bình Dương không được liệt kê ở trên (vui lòng nêu rõ):","위에 나열되지 않은 태평양 섬 주민(구체적으로 명시):","未在上面列出的太平洋島民種族或族裔（請具體說明）：","Pacific Islander na grupo na hindi nakalista sa itaas (tukuyin):",NA,"X",NA,NA,NA
1067,"S1",NA,"PER5.13","Black or African American","黑人或非裔美国人","Người da đen hoặc người Mỹ gốc Phi","흑인 또는 아프리카계 미국인","黑人或非裔美國人","Black o African American",NA,"X",NA,NA,NA
1068,"S1",NA,"PER5.14","American Indian, Alaska Native or First Nations","美洲印第安人、阿拉斯加原住民或第一民族","Người Mỹ da đỏ, người Alaska bản địa hoặc Các Dân Tộc Đầu Tiên","미국계 인디언, 알래스카 원주민 또는 캐나다 원주민","美洲印第安人、阿拉斯加原住民或第一民族","American Indian, Alaska Native o Mga First Nation",NA,"X",NA,NA,NA
1069,"S1",NA,"PER5.15","White or Caucasian","白人或高加索人","Người da trắng hoặc gốc da trắng","백인","白人或高加索人","White o Caucasian",NA,"X",NA,NA,NA
1070,"S1",NA,"PER5.16","Hispanic or Latino","西班牙裔或拉丁裔","Người gốc Tây Ban Nha hoặc La-tinh","히스패닉 또는 라틴계","西班牙裔或拉丁裔","Hispanic o Latino",NA,"X",NA,NA,NA
1071,"S1",NA,"PER5.17","Middle Eastern/North African","中东人/北非人","Người Trung Đông/Bắc Phi","중동/북아프리카계","中東人或北非人","Middle Eastern/North African",NA,"X",NA,NA,NA
1072,"S1",NA,"PER5.18","My race/ethnicity is not listed above (specify):","我的种族/族裔未在上面列出（请具体说明）:","Chủng tộc/dân tộc của tôi không được liệt kê ở trên (vui lòng nêu rõ):","위에 나열되지 않은 인종/민족(구체적으로 명시):","我的種族或族裔未在上面列出（請具體說明）：","Hindi nakalista sa itaas ang aking lahi/etnisidad (tukuyin):",NA,"X",NA,NA,NA
1073,"S1","4a","PER5a.","If you selected two or more racial groups \textbf{OR} two or more ethnic groups, do you identify with any one race/ethnicity in particular?","如果您选择了两个或更多的种族\CJKunderline{或}族裔群体，您是否特别认同某一种族或族裔？","Nếu quý vị chọn hai hoặc nhiều nhóm chủng tộc \textbf{HOẶC} hai hoặc nhiều nhóm dân tộc, thì quý vị có cảm thấy mình thuộc chủng tộc/dân tộc cụ thể nào không?","두 개 이상의 인종 그룹을 선택한 경우, 특정한 하나의 인종/민족에 대해 정체성을 상대적으로 더 가지고 있습니까?","如果您選擇了兩個以上的種族\CJKunderline{或}族裔，您是否特別認同某一種族或族裔？","Kung pinili mo ay dalawa \textbf{O} higit pa sa lahi o etnisidad na grupo, mayroon ba kayong isang partikular na grupo na kinikilala sa inyong sarili?",NA,"X",NA,NA,"1a"
1074,"S1",NA,"PER5a.1","Yes","是","Có","예","是","Oo","\seize{PER5b.}","X",NA,"\seize{PER5b.}",NA
1075,"S1",NA,"PER5a.2","No","否","Không","아니요","否","Hindi","\seize{PER6.}","X",NA,"\jump{subsec:DEM}",NA
1076,"S1",NA,"PER5a.3","I prefer not to answer","我不愿意回答","Tôi không muốn trả lời","대답하고 싶지 않음","我不願意回答","Mas pinili kong hindi sumagot","\seize{PER6.}","X",NA,"\jump{subsec:DEM}",NA
1077,"S1","4b","PER5b.","Of the groups you chose above, which one do you most identify with?","在您选择的种族或族裔中，您最认同哪一个？","Trong số các nhóm quý vị đã chọn ở trên, quý vị thấy nhóm nào phù hợp với mình nhất?","위에서 선택한 그룹 중 귀하의 정체성에서 가장 큰 비중을 차지하고 있는 그룹은 무엇입니까?","在您選擇的種族或族裔中，您最認同哪一個？","Sa mga grupong napili ninyo sa itaas, anong grupo ang mas kumikilala sa inyo?","\SOO","X",NA,"\SOO","1b"
1078,"S1",NA,"PER5b.1","Chinese","中国人","Người Trung Quốc","중국인","中國人","Chinese",NA,"X",NA,NA,NA
1079,"S1",NA,"PER5b.2","Taiwanese","台湾人","Người Đài Loan","대만인","台灣人","Taiwanese",NA,"X",NA,NA,NA
1080,"S1",NA,"PER5b.3","Filipino","菲律宾人","Người Philipin hay người Phi Luật Tân","필리핀인","菲律賓人","Filipino",NA,"X",NA,NA,NA
1081,"S1",NA,"PER5b.4","Asian Indian","印度人","Người Ấn Độ","아시아계 인도인","印度人","Asian Indian",NA,"X",NA,NA,NA
1082,"S1",NA,"PER5b.5","Vietnamese","越南人","Người Việt Nam","베트남인","越南人","Vietnamese",NA,"X",NA,NA,NA
1083,"S1",NA,"PER5b.6","Korean","韩国人","Người Hàn Quốc","한국인","韓國人","Korean",NA,"X",NA,NA,NA
1084,"S1",NA,"PER5b.7","Japanese","日本人","Người Nhật Bản","일본인","日本人","Japanese",NA,"X",NA,NA,NA
NA,"S1",NA,"PER5b.14","Bangladeshi","孟加拉人","Người Bangladesh","방글라데시 사람","孟加拉人","Bangladeshi",NA,NA,NA,NA,NA
NA,"S1",NA,"PER5b.15","Bhutanese","不丹人","Người Bhutan","부탄인","不丹人","Bhutanese",NA,NA,NA,NA,NA
NA,"S1",NA,"PER5b.16","Burmese","缅甸人","Người Miến Điện","미얀마 사람","緬甸人","Burmese",NA,NA,NA,NA,NA
NA,"S1",NA,"PER5b.17","Cambodian","柬埔寨人","Người Campuchia","캄보디아 사람","柬埔寨人","Cambodian",NA,NA,NA,NA,NA
NA,"S1",NA,"PER5b.18","Indonesian","印度尼西亚人","Người Indonesia","인도네시아 사람","印尼人","Indonesian",NA,NA,NA,NA,NA
NA,"S1",NA,"PER5b.19","Lao","老挝人","Người Lào","라오스 사람","寮國人","Lao",NA,NA,NA,NA,NA
NA,"S1",NA,"PER5b.20","Nepali","尼泊尔人","Người Nepal","네팔 사람","尼泊爾人","Nepali",NA,NA,NA,NA,NA
NA,"S1",NA,"PER5b.21","Pakistani","巴基斯坦人","Người Pakistan","파키스탄 사람","巴基斯坦人","Pakistani",NA,NA,NA,NA,NA
NA,NA,NA,"PER5b.22","Thai","泰国人","Người Thái","태국인","泰國人","Thai",NA,NA,NA,NA,NA
1085,"S1",NA,"PER5b.8","An Asian group not listed above (specify):","未在上面列出的亚洲群体（请具体说明）:","Nhóm người Châu Á không được liệt kê ở trên (vui lòng nêu rõ):","위에 나열되지 않은 아시아 인(구체적으로 명시):","未在上面列出的亞洲群體或族裔（請具體說明）：","Asian na grupo na hindi nakalista sa itaas (tukuyin):",NA,"X",NA,NA,NA
1086,"S1",NA,"PER5b.9","Native Hawaiian","夏威夷原住民","Người Hawaii bản địa","하와이 원주민","夏威夷族","Native Hawaiian",NA,"X",NA,NA,NA
1087,"S1",NA,"PER5b.10","Samoan","萨摩亚人","Người Samoa","사모아인","薩摩亞人","Samoan",NA,"X",NA,NA,NA
NA,NA,NA,"PER5b.23","Chamorro","查莫罗人","Người Chamorro","차모로인","查莫羅人","Chamorro",NA,NA,NA,NA,NA
NA,NA,NA,"PER5b.24","Tahitian","塔希提人","Người Tahiti","타히티인","大溪地人","Tahitian",NA,NA,NA,NA,NA
NA,NA,NA,"PER5b.25","Tongan","汤加人","Người Tonga","통가인","湯加人","Tongan",NA,NA,NA,NA,NA
1088,"S1",NA,"PER5b.11","Micronesian (specify):","密克罗尼西亚人（请具体说明）:","Người Micronesia (vui lòng nêu rõ):","미크로네시아인(구체적으로 명시):","密克羅尼西亞人（請具體說明）：","Micronesian (tukuyin):",NA,"X",NA,NA,NA
1089,"S1",NA,"PER5b.12","A Pacific Islander group not listed above (specify):","未在上面列出的太平洋岛民群体（请具体说明）:","Người dân đảo Thái Bình Dương không được liệt kê ở trên (vui lòng nêu rõ):","위에 나열되지 않은 태평양 섬 주민(구체적으로 명시):","未在上面列出的太平洋島民族裔（請具體說明）：","Pacific Islander na grupo na hindi nakalista sa itaas (tukuyin):",NA,"X",NA,NA,NA
1090,"S1",NA,"PER5b.13","My race/ethnicity is not listed above (specify):","我的种族/族裔未在上面列出（请具体说明）:","Chủng tộc/dân tộc của tôi không được liệt kê ở trên (vui lòng nêu rõ):","위에 나열되지 않은 인종/민족(구체적으로 명시):","我的種族或族裔未在上面列出（請具體說明）：","Hindi nakalista sa itaas ang aking lahi/etnisidad (tukuyin):",NA,"X",NA,NA,NA
1091,"S1","5","PER6.","Current home address","当前家庭住址","Địa chỉ nhà hiện tại","현재 자택집 주소","現在的家庭住址","Address ng kasalukuyang pinaninirahan ninyo",NA,NA,NA,NA,NA
1092,"S1",NA,"PER6.1","Street, PO Box, Box and/or Route:","街道、邮政信箱、信箱号及/或路号:","Số nhà và tên đường, số Hộp thư, Hòm thư và/hoặc Tuyến đường:","도로명, 우편함, 사서함 및/또는 국도명","街道、郵政信箱、信箱號及/或路號:","Kalye, PO Box, Box at/o Ruta:",NA,NA,NA,NA,NA
1093,"S1",NA,"PER6.6","Apt, C/O","公寓, 转交:","Căn hộ, Theo địa chỉ của:","아파트 동, 호수:","公寓, 轉交：","APT, Sa pangangalaga ng / sa atensyon ni",NA,NA,NA,NA,NA
1094,"S1",NA,"PER6.2","City:","市:","Thành phố:","도시:","市：","Lungsod:",NA,NA,NA,NA,NA
1095,"S1",NA,"PER6.3","State:","州:","Tiểu bang:","주:","州：","Estado:",NA,NA,NA,NA,NA
1096,"S1",NA,"PER6.4","Zip Code:","邮政编码:","Mã Zip:","우편번호:","郵遞區號：","Zip Code:",NA,NA,NA,NA,NA
1097,"S1",NA,"PER6.5","Country:","国家:","Quốc gia:","국가:","國家：","Bansa:",NA,NA,NA,NA,NA
1098,"S1","6","PER7.","Have you lived at this address for less than 1 year or more than 1 year?","您在此地址居住的时间是不到 1 年还是超过 1 年？","Quý vị đã sống ở địa chỉ này dưới 1 năm hay trên 1 năm?","해당 주소에서의 거주 기간이 1년 미만입니까 또는 1년 이상입니까?","您在此地址居住不到 1 年還是超過 1 年？","Nakatira ba kayo sa address na ito nang wala pang 1 taon o higit sa 1 taon?",NA,NA,NA,NA,NA
1099,"S1",NA,"PER7.1","Less than 1 year","不到 1 年","Dưới 1 năm","1년 미만","不到 1 年","Wala pang 1 taon","\seize{PER8c.}",NA,NA,NA,NA
1100,"S1",NA,"PER7.2","More than 1 year","超过 1 年","Trên 1 năm","1년 이상","超過 1 年","Mahigit 1 taon",NA,NA,NA,NA,NA
1101,"S1","6a","PER7a.","How many years have you lived at this address?","您在此地址居住了多少年？","Quý vị đã sống ở địa chỉ này bao nhiêu năm?","해당 주소에서의 거주 기간은 얼마입니까?","您在此地址居住了多少年？","Ilang taon na kayong nakatira sa address na ito?",NA,NA,NA,NA,NA
1102,"S1",NA,"PER7a.1","Number of years","年","Số năm","년","年","Bilang ng taon",NA,NA,NA,NA,NA
1103,"S1","7","PER8c.","Do you have a phone?","您有固定或者移动电话可以使用吗？","Quý vị có điện thoại không?","전화기가 있습니까?","您有電話嗎？","Mayroon ba kayong telepono?",NA,NA,NA,NA,NA
1104,"S1",NA,"PER8c.1","Yes","是","Có","예","是","Oo",NA,NA,NA,NA,NA
1105,"S1",NA,"PER8c.2","No","否","Không","아니요","否","Hindi","\seize{PER9.}",NA,NA,NA,NA
